formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
C9H12,1-ethyl-4-methylbenzene,622-96-8,120.194,210.81,435.13,640.2,32.3,440,0.259,0.364,50.0,1000.0,50.0-1000.0,5.097,0.017385,0.000136,-1.93E-07,7.82E-11,148.25,210.3,4.10862,1517.577,207.9,0.02,326.56,2,463.82
C4H8O2,butanoic acid,107-92-6,88.106,267.97,436.87,624,40.3,292,0.227,0.6,,,,,,,,,,177.7,4.8234,1731.708,195.955,0.02,342.7,2,460.12
C9H12,"1,3,5-trimethylbenzene (mesitylene)",108-67-8,120.194,228.43,437.9,637.3,31.27,430,0.252,0.399,50.0,1000.0,50.0-1000.0,5.305,0.020039,0.00011606,-1.63E-07,6.50E-11,147.63,209.1,4.22541,1581.36,210.01,0.02,330.06,2,466.1
C8H16O2,propyl pentanoate,141-06-0,144.214,202.45,440.65,613,25.2,504,0.249,,,,,,,,,,,,,,,,,,
C8H18O,4-octanol,589-62-8,130.23,,440.72,625.1,,515,,,,,,,,,,,,337.6,5.08522,1816.393,190.02,0.0001,283,0.02,353
C9H12,"1,2,4-trimethylbenzene",95-63-6,120.194,229.35,442.49,649.1,32.32,435,0.256,0.377,50.0,1000.0,50.0-1000.0,5.319,0.020074,0.00012034,-1.69E-07,6.69E-11,149.71,215,4.17692,1579.353,209.29,0.02,332.64,2,471.34
H2S3,dihydrogen trisulfide,13845-23-3,98.214,,443.13,738,51.3,205,0.171,,,,,,,,,,,123.42,3.932,1488,209,0.02,328,2,473.96
C10H20,1-decene,872-05-9,140.269,206.89,443.75,617,22.2,584,0.253,,200.0,1000.0,200.0-1000.0,11.175,0.014222,0.00019908,-2.75E-07,1.10E-10,221.97,300.3,,,,,,,
C7H9N,"3,5-dimethylpyridine (3,5 lutidine)",591-22-0,107.155,266.65,445.06,667.2,38.7,367,0.256,0.351,50.0,1000.0,50.0-1000.0,3.995,0.005299,0.00017971,-2.42E-07,9.67E-11,132.01,200,4.2129,1595.15,207.24,0.02,335.73,2,473.68
C6H8O,2-cyclohexen-1-one,930-68-7,96.131,,445.49,685,45.3,305.18,0.243,0.308,,,,,,,,,,,,,,,,,
C10H14,2-methylpropylbenzene (isobutylbenzene),538-93-2,134.221,221.67,445.9,650,30.5,480,0.271,0.383,,,,,,,,,173.9,241,4.05978,1529.96,204.64,0.02,334.19,2,475.5
C10H22,decane,124-18-5,142.285,243.49,447.3,617.7,21.1,624,0.256,0.49,200.0,1000.0,200.0-1000.0,13.467,0.004139,0.00023127,-3.05E-07,1.20E-10,233.05,314.54,4.06853,1495.17,193.858,0.02,338.53,2,476.15
C9H12,"1,2,3-trimethylbenzene",526-73-8,120.194,247.77,449.23,664.5,34.54,435,0.267,0.367,50.0,1000.0,50.0-1000.0,4.042,0.031152,0.00010185,-1.63E-07,6.92E-11,155.07,216.1,4.1711,1598.241,207.62,0.02,337.8,2,478.5
C5H10O2,3-methylbutanoic acid,503-74-2,102.133,243.85,449.68,629,34,,,0.651,,,,,,,,,,197.1,4.5847,1676.3,189.5,0.02,350,2,474.97
C7H16O,1-heptanol,111-70-6,116.203,239.2,449.81,631.9,31.5,435,0.261,0.588,200.0,1000.0,200.0-1000.0,7.935,0.018023,0.00014223,-2.03E-07,8.26E-11,175.9,270.6,4.01991,1274.89,140.94,0.02,355.1,2,475.03
C10H14,1-(1-methylethyl)-4-methylbenzene (p-cymene),99-87-6,134.221,205.22,450.26,652,28,497,0.248,0.376,,,,,,,,,173.7,237.7,4.17215,1606.89,208.57,0.02,338.28,2,479.6
C9H10,indan,496-11-7,118.178,221.74,451,684.9,39.5,393,0.273,,,,,,,,,,,190.3,,,,,,,
C8H19N,n-octylamine,111-86-4,129.246,,451.7,641,26.17,517,0.254,0.446,,,,,,,,,,,,,,,,,
C9H18O2,3-methylbutyl butanoate,106-27-4,158.241,,452.09,619,23.3,500,0.226,0.583,,,,,,,,,221.4,320.4,4.50447,1805.08,222.3,0.02,342,2,480.28
C7H9N,"3,4-dimethylpyridine (3,4 lutidine)",583-58-4,107.155,262.15,452.29,683.8,40.9,367,0.264,0.337,50.0,1000.0,50.0-1000.0,4.135,0.015216,0.00010792,-1.55E-07,6.32E-11,121.78,186.3,4.1892,1605.14,204.55,0.02,341.1,2,481.43
C8H18O,2-octanol,123-96-6,130.23,241.15,453.03,637,28.1,493,0.262,0.531,,,,,,,,,,,3.5137,1060.4,122.5,0.02,354,2,480.72
C6H6O,phenol,108-95-2,94.113,314.05,455.04,694.25,61.3,229,0.243,0.442,50.0,1000.0,50.0-1000.0,2.582,0.017501,8.89E-05,-1.44E-07,6.32E-11,103.22,,4.2696,1523.42,175.4,0.02,353,2,481.62
C10H14,butylbenzene,104-51-8,134.221,185.19,456.42,660.5,28.9,497,0.262,0.393,200.0,1000.0,200.0-1000.0,6.49,0.01908,0.00015665,-2.21E-07,8.89E-11,173.86,243.39,4.10345,1575.47,201.2,0.02,343.5,2,486.2
C10H14,"1,4-diethylbenzene",105-05-5,134.221,230.3,456.9,657.9,28.03,480.5,0.247,0.403,298.0,1000.0,298.0-1000.0,-0.359,0.075371,4.42E-06,-5.74E-08,2.78E-11,176.15,239.1,4.12958,1592.59,202.44,0.02,343.95,2,486.6
C6H7N,benzeneamine (aniline),62-53-3,93.128,266.85,457.17,699,53.1,273.9,0.256,0.38,50.0,1000.0,50.0-1000.0,2.598,0.019936,8.44E-05,-1.34E-07,5.63E-11,107.9,191.9,4.4087,1692.77,200.44,0.02,349.86,2,484.81
I2,iodine,7553-56-2,253.809,386.76,457.56,819,,155,,,50.0,1000.0,50.0-1000.0,3.508,0.006303,-1.46E-05,1.47E-08,-5.31E-12,36.88,,4.1431,1611.9,205.18,0.15,392.49,2,487.51
C8H18O,2-ethyl-1-hexanol,104-76-7,130.23,203.2,457.77,640.5,27.99,,,0.558,,,,,,,,,,,,,,,,,
C5H10O2,pentanoic acid,109-52-4,102.133,239.45,459.31,643,35.8,336.2,,0.67,,,,,,,,,,210.3,4.1692,1405.8,151.8,0.02,361,2,484.78
C10H18,trans-bicyclo[4.4.0]decane (trans-decalin),493-02-7,138.253,242.75,460.42,687,32,480,0.272,0.303,298.0,1000.0,298.0-1000.0,-2.155,0.053852,0.0001261,-2.10E-07,9.07E-11,168.6,228.5,3.98171,1564.683,206.259,0.02,342.33,2,492
C10H12,1-methylindan,767-58-8,132.205,,463.8,694.1,35.3,448,0.274,,,,,,,,,,,,,,,,,,
C7H8O,2-methylphenol (o-cresol),95-48-7,108.14,302.95,464.17,697.6,50,282,0.243,0.436,50.0,1000.0,50.0-1000.0,2.876,0.026142,8.54E-05,-1.42E-07,6.19E-11,124.68,225.02,4.1834,1534.54,176.3,0.02,357.8,2,492.11
C10H12,2-methylindan,824-63-5,132.205,,464.5,695.3,35.3,448,0.274,,,,,,,,,,,,,,,,,,
C9H20O,2-nonanol,628-99-9,144.257,,466.7,649.6,25.3,575,0.269,,,,,,,,,,,,,,,,,,
C8H18O,1-octanol,111-87-5,130.23,257.65,468.33,652.5,28.6,490,0.258,0.594,200.0,1000.0,200.0-1000.0,9.193,0.018228,0.00016682,-2.36E-07,9.58E-11,198.6,302.4,3.90225,1274.8,131.99,0.02,368.8,2,495.15
C10H18,cis-bicyclo[4.4.0]decane (cis-decalin),493-01-6,138.253,230.14,468.92,703.6,32,480,0.265,0.276,298.0,1000.0,298.0-1000.0,-5.445,0.080068,5.07E-05,-1.18E-07,5.09E-11,168.1,232,4.00019,1594.46,203.392,0.02,349.53,2,500.79
C11H24,undecane,1120-21-4,156.312,247.57,469.08,639,19.8,689,0.257,0.537,,,,,,,,,255.69,345.05,4.0971,1569.57,187.7,0.02,356.25,2,499
C4H10O2,"1,2-butanediol",26171-83-5,90.126,,469.58,680,,303.05,,,,,,,,,,,,,,,,,,,
C10H14,"1,2,4,5-tetramethylbenzene (durene)",95-93-2,134.221,352.45,470,676,29,482,0.249,0.423,298.0,1000.0,298.0-1000.0,3.352,0.067376,5.27E-06,-4.88E-08,2.29E-11,186.5,,4.18329,1660.56,200.64,0.02,354.8,2,500.2
C8H10O,"2,6-dimethylphenol (2,6-xylenol)",576-26-1,122.167,318.75,474.18,701,46.3,520,0.272,0.489,50.0,1000.0,50.0-1000.0,2.604,0.05199,2.68E-05,-7.38E-08,3.34E-11,155.97,,4.19336,1627.23,187.547,0.02,361.76,2,503.66
C10H12,5-methylindan,874-35-1,132.205,,475.1,711.2,35.3,448,0.267,,,,,,,,,,,,,,,,,,
C7H8O,4-methylphenol (p-cresol),106-44-5,108.14,307.89,475.12,704.5,51.5,277,0.244,0.51,,,,,,,,,129.74,189.3,4.1805,1525.32,163400,0.02,369.1,2,502.93
C8H8O,methylphenylketone(acetophenone),98-86-2,120.153,,475.26,713,40.3,380.23,0.258,0.361,,,,,,,,,,,,,,,,,
C7H8O,3-methylphenol (m-cresol),108-39-4,108.14,284.95,475.38,705.7,45.6,312,0.241,0.452,50.0,1000.0,50.0-1000.0,2.881,0.027407,7.94E-05,-1.34E-07,5.84E-11,124.97,,4.2153,1556.83,167.6,0.02,368.8,2,503.28
C12H20,"1,3-dimethyltricyclo[3.3.1.13,7]decane (1,3-dimethyladamantane)",702-79-4,164.292,,476.44,708,,571.45,,,,,,,,,,,,,,,,,,,
C10H24N4,octamethylethenetetramine,996-70-3,200.326,,477.44,680,,646.21,,,,,,,,,,,,,,,,,,,
C8H10O,2-ethylphenol,90-00-6,122.167,269.84,477.67,703,43,342,0.252,0.475,298.0,1000.0,298.0-1000.0,-2.392,0.082472,-4.48E-05,-4.34E-09,8.90E-12,151.16,,4.13365,1550.44,171.074,0.02,367.9,2,506.61
C6H12O2,hexanoic acid,142-62-1,116.16,,478.38,662,32,377.2,,0.694,,,,,,,,,147.4,209.6,,,,,,,
C7H8O,benzyl alcohol,100-51-6,108.14,257.8,478.46,715,43,,,0.39,50.0,1000.0,50.0-1000.0,3.123,0.031032,6.15E-05,-1.08E-07,4.64E-11,127.3,,,,,,,,
C10H12,4-methylindan,824-22-6,132.205,,478.6,716.4,35.3,448,0.266,,,,,,,,,,,,,,,,,,
C10H12,"1,2,3,4-tetrahydronaphthalene",119-64-2,132.205,237.35,480.75,720,36.5,408,0.249,,,,,,,,,,,,,,,,,,
C4H10O2,"1,3-butanediol",107-88-0,136.154,,481.38,676,,305,,,,,,,,,,,,,,,,,,,
C8H10O,"2,4-dimethylphenol (2,4-xylenol)",105-67-9,122.167,297.68,484.09,707.6,42.8,510,0.249,0.506,50.0,1000.0,50.0-1000.0,3.752,0.041738,5.81E-05,-1.11E-07,4.86E-11,156.1,,4.18688,1592.78,170.004,0.02,373.76,2,513.04
C8H10O,"2,5-dimethylphenol (2,5-xylenol)",95-87-4,122.167,347.97,484.29,706.9,42.8,470,0.249,0.514,50.0,1000.0,50.0-1000.0,3.008,0.050507,2.96E-05,-7.55E-08,3.35E-11,157.09,,4.13449,1563.14,167.453,0.02,373.66,2,513.46
C9H20O,1-nonanol,143-08-8,144.257,268.15,486.52,668.9,26.3,544,0.261,0.633,200.0,1000.0,200.0-1000.0,10.35,0.019105,0.00019007,-2.69E-07,1.09E-10,221.2,334.2,3.83303,1297.75,125,0.02,382.1,2,515.58
C12H24,1-dodecene,112-41-4,168.323,237.95,486.95,658,19.3,,,,200.0,1000.0,200.0-1000.0,13.617,0.015108,0.00024747,-3.41E-07,1.37E-10,267.38,360.7,,,,,,,
C12H18,"1,3,5-triethylbenzene",102-25-0,162.276,,488.93,679,24.35,624.14,0.269,0.527,298.0,1000.0,298.0-1000.0,1.319,0.087791,1.41E-05,-7.68E-08,3.60E-11,224.42,,,,,,,,
C12H26,dodecane,112-40-3,170.338,263.57,489.48,658,18.2,754,0.251,0.576,200.0,1000.0,200.0-1000.0,17.229,-0.007242,0.00031922,-4.23E-07,1.70E-10,278.33,375.47,4.12285,1639.27,181.84,0.02,372.89,2,520.24
C8H10O,"2,3-dimethylphenol (2,3-xylenol)",526-75-0,122.167,345.95,490.03,722.8,46.3,470,0.263,0.496,,,,,,,,,164.1,,4.12202,1576.78,166.173,0.02,377.86,2,519.64
C8H10O,4-ethyl-phenol,123-07-9,122.167,318.18,491.15,716.4,40.5,342,0.233,0.491,298.0,1000.0,298.0-1000.0,-3.628,0.088368,-5.66E-05,6.16E-09,5.48E-12,148.83,,4.13227,1545.23999,156.468,0.02,381.67,2,520.01
C10H8,naphthalene,91-20-3,128.174,351.35,491.16,748.4,40.5,407,0.265,0.304,50.0,1000.0,50.0-1000.0,2.889,0.014306,0.00015978,-2.39E-07,1.02E-10,132.55,,4.13555,1733.71,201.859,0.02,368.44,2,523.4
C8H10O,3-ethylphenol,620-17-7,122.167,269.15,491.58,718.8,41.5,342,0.237,0.489,298.0,1000.0,298.0-1000.0,-4.029,0.090167,-5.88E-05,7.02E-09,5.46E-12,148.54,,4.16568,1572.26,159.52399,0.02,381.72,2,520.46
C8H10O,"3,5-dimethylphenol (3,5-xylenol)",108-68-9,122.167,336.75,494.85,715.6,41.3,610,0.237,0.544,50.0,1000.0,50.0-1000.0,2.869,0.043266,5.90E-05,-1.15E-07,5.05E-11,152.7,,4.26229,1645.27,164.821,0.02,384.32,2,523.67
C7H14O2,heptanoic acid,111-14-8,130.187,,495.35,679,29,429.7,,0.712,,,,,,,,,,,,,,,,,
C8H10O,"3,4-dimethylphenol (3,4-xylenol)",95-65-8,122.167,333.95,500.11,729.8,42.8,460,0.241,0.512,50.0,1000.0,50.0-1000.0,1.407,0.067846,-1.35E-05,-3.40E-08,1.95E-11,163.52,,4.21183,1627.78,160.041,0.02,388.5,2,529.34
C8H16O2,2-ethylhexanoic acid,149-57-5,144.218,,500.66,675,,554.68,,,,,,,,,,,,,,,,,,,
C10H22O,1-decanol,112-30-1,158.284,280.05,504.25,684.4,23.7,600,0.252,0.661,200.0,1000.0,200.0-1000.0,11.637,0.01913,0.00021517,-3.03E-07,1.22E-10,243.8,366,3.84905,1369,125.078,0.02,394.8,2,533.92
C13H28,tridecane,629-50-5,184.365,267.76,508.63,675,16.8,823,0.246,0.618,200.0,1000.0,200.0-1000.0,18.546,-0.007636,0.00034604,-4.60E-07,1.85E-10,300.97,406.89,4.13246,1690.67,174.22,0.02,388.85,2,540.19
C9H7N,quinoline,91-22-5,129.161,257.55,510.3,782,45,402,0.278,0.315,,,,,,,,,,194.9,4.1949,1812.25,195.45,0.02,385.18,2,543.11
C14H22,"1,4-di(trimethylmethyl)benzene (p-ditertbutylbenzene)",1012-72-2,190.33,350.8,510.43,708,23,732,0.286,0.506,,,,,,,,,,,,,,,,,
C8H16O2,octanoic acid,124-07-2,112.215,289.45,512.01,695,26.4,,,0.734,,,,,,,,,,298,,,,,,,
H2S4,dihydrogen tetrasulfide,13845-25-5,130.28,,513.14,855,43.7,260,0.16,,,,,,,,,,,154.1,4.07,1772,196,0.02,384,2,547.3
C11H10,2-methylnaphthalene,91-57-6,142.2,307.71,514.2,761,35.4,462,0.258,0.374,298.0,1000.0,298.0-1000.0,-4.671,0.093882,-4.33E-05,-1.33E-08,1.32E-11,154.6,,4.1934,1840.268,198.395,0.02,387.07,2,547.5
C9H7N,isoquinoline,119-65-3,129.161,299.62,516.35,803,47,402,0.283,,,,,,,,,,,,,,,,,,
C11H10,1-methylnaphthalene,90-12-0,142.2,242.69,517.84,772,36,462,0.259,0.348,298.0,1000.0,298.0-1000.0,-5.637,0.098625,-4.96E-05,-1.03E-08,1.28E-11,159.3,224.4,4.16082,1826.948,195.002,0.02,389.93,2,551.4
C16H34,"2,2,4,4,6,8,8-heptamethylnonane",4/9/4390,226.446,,520.25,693,15.7,,,0.548,,,,,,,,,,,,,,,,,
C11H24O,1-undecanol,112-42-5,172.311,,521.24,705,22.4,,,0.656,200.0,1000.0,200.0-1000.0,12.923,0.018973,0.00024124,-3.38E-07,1.37E-10,267.24,,,,,,,,
C14H30,tetradecane,629-59-4,198.392,279.01,526.76,693,15.7,894,0.244,0.644,200.0,1000.0,200.0-1000.0,18.375,0.006585,0.00032307,-4.27E-07,1.66E-10,323.61,438.48,4.1379,1740.88,167.72,0.02,403.69,2,559.15
C9H18O2,nonanoic acid,112-05-0,158.241,,527.74,711,24.3,,,0.748,,,,,,,,,,,,,,,,,
C12H10,"1,1’-biphenyl",92-52-4,154.211,342.35,528.23,773,33.8,497,0.261,0.404,200.0,1000.0,200.0-1000.0,-0.843,0.061392,6.35E-05,-1.38E-07,6.17E-11,165.28,250.95,4.1887,1841.48,185.15,0.02,400.77,2,561.6
C12H12,"2,7-dimethylnaphthalene",582-16-1,156.227,368.85,535,775,32.3,,,,298.0,1000.0,298.0-1000.0,-3.288,0.101288,-4.75E-05,-1.08E-08,1.22E-11,187.08,,,,,,,,
C13H12,diphenylmethane,101-81-5,168.238,298.39,537.65,760,27.1,563,0.241,0.481,,,,,,,,,,266.1,4.1806,1862.64,181.65,0.02,408.2,2,571.7
C12H26O,1-dodecanol,112-53-8,186.338,297.1,537.79,720,20.8,718,0.249,0.684,200.0,1000.0,200.0-1000.0,14.073,0.019938,0.00026412,-3.70E-07,1.50E-10,289.95,,,,,,,,
C12H12,"1,6-dimethylnaphthalene",575-43-9,156.227,257,539.5,784,31,517,0.246,,298.0,1000.0,298.0-1000.0,-4.332,0.103947,-4.56E-05,-1.77E-08,1.57E-11,185.1,,,,,,,,
C10H20O2,decanoic acid,334-48-5,172.268,305.15,541.92,726,22.3,,,0.749,,,,,,,,,,,,,,,,,
C15H32,pentadecane,629-62-9,212.419,283.08,543.83,708,14.8,966,0.243,0.685,200.0,1000.0,200.0-1000.0,21.18,-0.008424,0.00039969,-5.33E-07,2.15E-10,346.25,469.95,4.14849,1789.95,161.38,0.02,417.8,2,576.9
C13H28O,1-tridecanol,112-70-9,200.365,,553.72,734,19.35,,,0.712,,,,,,,,,,,,,,,,,
H2S5,dihydrogen pentasulfide,13845-24-4,162.346,,558.1,930,38.9,315,0.158,,,,,,,,,,,184.78,4.445,2104,189,0.02,426,2,591.88
C16H34,hexadecane,544-76-3,226.446,291.32,559.98,723,14,1034,0.241,0.718,200.0,1000.0,200.0-1000.0,,,0.00114814,-1.56E-06,6.75E-10,368.89,501.45,4.15357,1830.51,154.45,0.02,431.47,2,593.8
C14H30O,1-tetradecanol,112-72-1,214.392,,569.04,747,18.1,,,0.744,,,,,,,,,,,,,,,,,
C17H36,heptadecane,629-78-7,240.473,295.13,574.56,736,13.4,1103,0.242,0.753,200.0,1000.0,200.0-1000.0,23.813,-0.00921,0.00045333,-6.06E-07,2.45E-10,391.53,534.34,4.1392,1865.1,149.2,0.02,443.5,2,610
C15H32O,1-pentadecanol,629-76-5,228.419,,583.68,759,17,,,0.778,,,,,,,,,,,,,,,,,
C18H38,octadecane,593-45-3,254.5,301.32,588.3,747,12.9,1189,0.247,0.8,200.0,1000.0,200.0-1000.0,25.13,-0.009603,0.00048015,-6.43E-07,2.59E-10,414.17,564.45,4.1271,1894.3,143.3,0.02,455,2,625
C16H34O,1-hexadecanol,4485-13-6,242.446,322.45,597.53,770,16.1,,,0.818,,,,,,,,,,,,,,,,,
C19H40,nonadecane,629-92-5,268.527,305.25,602.34,755,11.6,,,0.845,200.0,1000.0,200.0-1000.0,26.447,-0.009998,0.00050697,-6.79E-07,2.74E-10,436.81,595.94,4.1402,1932.8,137.6,0.02,466.5,2,639
C18H14,"1,2-diphenylbenzene",84-15-1,230.309,329.35,605.15,857,29.9,,,,,,,,,,,,,,,,,,,,
C17H36O,1-heptadecanol,1454-85-9,256.472,327,611.12,780,15,,,0.853,,,,,,,,,,,,,,,,,
C14H10,phenanthrene,85-01-8,178.233,372.35,611.55,869,28.7,554,0.22,0.479,50.0,1000.0,50.0-1000.0,2.374,0.038372,0.00016471,-2.68E-07,1.16E-10,185.16,,4.37081,2329.54,195.28,0.02,461.6,2,650
ClH4N,ammonium chloride,12125-02-9,53.491,793.2,613.16,882,,165,,,,,,,,,,,,,6.4806,3703.7,232,0.02,494,2,
C14H10,anthracene,120-12-7,178.233,492.65,614.39,869.3,28.7,554,0.22,0.501,50.0,1000.0,50.0-1000.0,2.577,0.031826,0.00018811,-2.97E-07,1.28E-10,182.29,,4.79891,2819.63,247.02,0.02,460,2,653
C20H42,eicosane,112-95-8,282.554,309.95,616.84,768,10.7,,,0.865,200.0,1000.0,200.0-1000.0,27.764,-0.010389,0.00053379,-7.16E-07,2.89E-10,459.45,627.45,4.2771,2032.7,132.1,0.02,481.1,2,652
C18H38O,1-octadecanol,112-92-5,270.499,331,623.57,790,14.4,,,0.892,,,,,,,,,,,,,,,,,
C21H44,heneicosane,629-94-7,296.58,313.65,629.65,778,10.3,,,,,,,,,,,,,,,,,,,,
C19H40O,1-nonadecanol,1454-84-8,284.526,,635.41,799,13.8,,,0.934,,,,,,,,,,,,,,,,,
C18H14,"1,3-diphenylbenzene",92-06-8,230.309,360.15,636.15,883,24.8,724,0.245,,,,,,,,,,,,,,,,,,
C22H46,docosane,629-97-0,310.607,317.55,641.75,786,9.8,,,,,,,,,,,,,,,,,,,,
C20H42O,1-eicosanol,629-96-9,298.553,339,647.69,809,13,,,0.954,,,,,,,,,,,,,,,,,
C18H14,"1,4-diphenylbenzene",92-94-4,230.309,483.25,649.15,908,29.9,729,0.289,,,,,,,,,,,,,,,,,,
C23H48,tricosane,638-67-5,324.634,320.65,653.35,790,9.2,,,,,,,,,,,,,,,,,,,,
C24H50,tetracosane,646-31-1,338.661,324.05,664.45,800,8.7,,,,,,,,,,,,,,,,,,,,
S,sulfur,7704-34-9,32.066,392.75,717.75,1313.01,182,158,0.263,,50.0,1000.0,50.0-1000.0,2.803,-3.60E-05,1.43E-06,-4.35E-09,2.68E-12,23.67,,3.96853,2500.12,186.3,0.02,527.98,2,768.55
Se,selenium,7782-49-2,78.96,494,957.95,1766,271.6,62.3,0.118,,,,,,,,,,,,4.7565,4213,202,0.02,724,2,1017
CO2,carbon dioxide,124-38-9,44.01,216.58,,304.12,73.74,94.07,0.274,0.225,50.0,1000.0,50.0-1000.0,3.259,0.001356,1.50E-05,-2.37E-08,1.06E-11,37.13,,,,,,,,
C3H2F6,"1,1,1,3,3,3-hexafluoropropane (R-236fa)",690-39-1,152.05,232.65,,398.1,,277.21,,0.377,,,,,,,,,,,,,,,,,
C3H3F5,"1,1,1,3,3-pentafluoropropane (R-245fa)",460-73-1,134.05,,,427,,259.28,,0.385,,,,,,,,,,,,,,,,,
C6F12,dodecafluorocyclohexane,355-68-0,300.047,335.65,,457.29,22.37,459,0.27,,,,,,,,,,,,,,,,,,
C7H16O,4-heptanol,589-55-9,116.203,,,602.6,,432,,,,,,,,,,,,317.6,,,,,,,
C8H18O,3-octanol,589-98-0,130.23,,,628.5,,515,,,,,,,,,,,,338.5,,,,,,,
D2S,deuterium sulfide,13536-94-2,36.094,187.15,,372.3,89,96,0.276,,50.0,1000.0,50.0-1000.0,4.29,-0.003944,1.97E-05,-2.27E-08,8.72E-12,36.13,,,,,,,,
D3P,trideuterophosphine,13537-03-6,37.016,,,323.6,65,,,,,,,,,,,,,,,,,,,,
F2Xe,xenon difluoride,13709-36-9,169.287,402.18,,631,93,149,0.264,,,,,,,,,,,,,,,,,,
F4Xe,xenon tetrafluoride,13709-61-0,207.284,390.25,,612,70.4,189,0.261,,,,,,,,,,,,,,,,,,
OT2,tritium oxide,14940-65-9,22.032,277.64,,641.72,214.1,56,0.225,,,,,,,,,,34.96,,,,,,,,
T2,tritium,10028-17-8,6.032,,,40,18.5,55.3,0.308,,,,,,,,,,29.2,,,,,,,,
